"user";"booking_date";"origin_airport";"price";"sales channel";"ant"
"user4";2018-10-29;"MAD";76.6699981689;"online";26
"user4";2018-11-01;"CLT";53.5999984741;"travel agency";2
"user2";2018-11-01;"LPA";92.3300018311;"online";0
"user7";2018-11-01;"MAD";97.5;"online";37
"user3";2018-11-01;"MAD";72.3199996948;"travel agency";66
"user8";2018-11-01;"VGO";82.7099990845;"online";4
"user7";2018-11-01;"ALC";58.4799995422;"travel agency";65
"user3";2018-11-01;"AGP";22.2800006866;"online";12
"user2";2018-11-01;"SVQ";34.9000015259;"online";43
"user3";2018-11-01;"SVQ";25.9300003052;"travel agency";25
"user1";2018-11-01;"PMI";63.0800018311;"online";12
"user3";2018-11-01;"AGP";21.2900009155;"online";33
"user1";2018-11-01;"AGP";27.0599994659;"online";25
"user8";2018-11-01;"MAH";54.6399993896;"online";32
"user6";2018-11-01;"MAD";167.75;"online";15
"user7";2018-11-01;"MAD";76.3099975586;"online";11
"user7";2018-11-02;"MAD";81.7399978638;"travel agency";22
"user7";2018-11-01;"DUB";50.2200012207;"online";16
"user6";2018-11-01;"MAD";95.3499984741;"online";0
"user2";2018-11-01;"MAD";325.399993896;"travel agency";2
"user1";2018-11-01;"MAD";57.7900009155;"online";5
"user9";2018-11-01;"MAD";68.9199981689;"online";39
"user7";2018-11-01;"BHX";64.9700012207;"call center";3
"user3";2018-11-01;"MAD";92.4700012207;"online";37
"user1";2018-11-01;"SVQ";13.6099996567;"travel agency";64
"user7";2018-10-31;"MAD";30.7700004578;"online";28
"user9";2018-11-01;"LPA";72.8099975586;"online";21
"user6";2018-11-01;"LPA";148.779998779;"online";58
"user8";2018-11-01;"LPA";47.9300003052;"online";60
"user10";2018-11-01;"MAD";192.289993286;"travel agency";4
"user6";2018-11-01;"MIA";49.5099983215;"travel agency";29
"user2";2018-11-01;"ACE";98.3499984741;"online";3
"user4";2018-11-01;"MAD";87.5500030518;"travel agency";55
"user8";2018-10-29;"ACE";79.4300003052;"online";24
"user2";2018-11-01;"TXL";39.2999992371;"online";14
"user5";2018-11-01;"IBZ";28.25;"online";79
"user6";2018-11-01;"MAD";151.460006714;"online";2
"user8";2018-11-01;"CDG";58.7700004578;"travel agency";72
"user9";2018-11-01;"PMI";43.6199989319;"travel agency";1
"user7";2018-11-01;"AGP";48.0699996948;"online";93
"user2";2018-11-01;"AMS";350.440002441;"travel agency";1
"user2";2018-10-29;"PMI";64.4100036621;"online";19
"user4";2018-11-01;"MAD";130.740005493;"online";35
"user10";2018-10-29;"MAD";107.25;"online";3
"user3";2018-11-01;"LPA";67.2699966431;"online";17
"user8";2018-11-01;"MAD";37.8800010681;"travel agency";14
"user8";2018-11-02;"MAD";4.86000013351;"call center";7
"user8";2018-11-01;"MAD";104.699996948;"online";32
"user9";2018-11-01;"MAD";39.4399986267;"online";28
"user1";2018-11-01;"VGO";56.9099998474;"online";23
"user10";2018-11-01;"LGW";46.2799987793;"online";16
"user7";2018-11-01;"MAD";42.8600006104;"online";4
"user2";2018-11-01;"MAD";183.25;"travel agency";35
"user2";2018-11-01;"MAD";145.410003662;"online";44
"user3";2018-11-01;"AMS";106.480003357;"travel agency";87
"user10";2018-11-01;"MAD";24.0300006866;"online";21
"user4";2018-11-01;"NAP";49.5200004578;"online";58
"user7";2018-11-01;"MAD";96.5999984741;"travel agency";6
"user7";2018-11-01;"MAD";28.1499996185;"online";25
"user5";2018-11-01;"MAD";28.9699993134;"online";2
"user9";2018-11-01;"MAD";47.4099998474;"online";22
"user2";2018-11-01;"MAD";131.190002441;"online";37
"user4";2018-11-02;"TXL";39.0299987793;"online";13
"user9";2018-11-01;"MAD";180.970001221;"call center";1
"user5";2018-10-31;"AMS";57.75;"travel agency";60
"user8";2018-11-01;"AGP";81.5922616998235;"online";4
"user3";2018-10-30;"CAG";186.720001221;"travel agency";38
"user3";2018-11-01;"IBZ";59.5;"online";5
"user9";2018-11-01;"SVQ";22.7900009155;"online";24
"user5";2018-11-01;"MAD";15;"online";8
"user4";2018-11-01;"MAD";59.1100006104;"travel agency";52
"user4";2018-11-01;"SCQ";21.0699996948;"online";2
"user6";2018-11-01;"MAD";26.6100006104;"online";23
"user3";2018-10-29;"MAD";62.9399986267;"online";11
"user3";2018-11-01;"ALC";83.5599975586;"travel agency";60
"user8";2018-10-29;"TFN";67.4899978638;"online";3
"user7";2018-10-31;"MAD";4.90000009537;"online";6
"user4";2018-10-29;"TXL";61.4900016785;"online";41
"user8";2018-10-29;"MAD";22.6800003052;"online";23
"user1";2018-10-31;"MAD";66.5;"online";0
"user1";2018-11-01;"MAD";97.3499984741;"online";1
"user10";2018-11-03;"MAD";154.440002441;"online";30
"user5";2018-11-01;"MAD";21.3299999237;"call center";6
"user7";2018-11-01;"MAD";31.9799995422;"online";44
"user8";2018-11-01;"MAD";101.480003357;"online";13
"user6";2018-10-30;"TXL";43.6300010681;"online";2
"user3";2018-11-01;"MAD";503.010009766;"travel agency";37
"user4";2018-11-01;"SCQ";37.5999984741;"online";57
"user8";2018-11-01;"MAD";52.5200004578;"travel agency";4
"user7";2018-11-01;"AGP";338.940002441;"travel agency";35
"user5";2018-10-29;"MAD";44.0499992371;"travel agency";55
"user6";2018-11-01;"XRY";85.5800018311;"online";14
"user8";2018-11-01;"LGW";139.490005493;"call center";0
"user5";2018-11-01;"XRY";219.949996948;"travel agency";21
"user2";2018-10-30;"MAD";54.8699989319;"travel agency";7
"user7";2018-11-01;"MAD";134.190002441;"travel agency";35
"user5";2018-11-03;"MAD";79.3099975586;"travel agency";16
"user1";2018-11-03;"MAD";47.8699989319;"online";3
"user3";2018-10-29;"MAD";58.3400001526;"travel agency";1
"user9";2018-11-01;"MAD";114.629997253;"travel agency";6
"user10";2018-11-02;"TXL";53.6300010681;"online";7
